,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
1621,1621,Jason Smith,11.0,87.0,14.7,7.9,2.0,54.8,75.1,55.3,7.0,30.8,10.5,smithja02.html,False
1622,1622,Jim Smith,2.0,114.0,6.9,5.4,0.5,51.4,54.1,,1.0,,,smithji01.html,False
1623,1623,Joe Smith,16.0,64.0,20.2,10.7,1.0,55.1,73.8,55.7,2.0,42.3,,smithjo02.html,False
1624,1624,Josh Smith,13.0,4.0,0.8,1.8,1.0,33.3,50.0,33.3,5.0,,0.1,smithjo03.html,False
1625,1625,Keith Smith,1.0,26.0,2.7,,,,,,1.0,,,smithke03.html,False
1626,1626,Kenny Smith,10.0,127.0,12.9,2.2,6.0,51.2,82.3,,4.0,,,smithke01.html,False
1627,1627,LaBradford Smith,3.0,133.0,13.6,2.9,5.4,48.1,86.6,53.4,2.0,33.9,,smithla02.html,False
1628,1628,Larry Smith,13.0,77.0,17.6,13.1,,59.1,63.3,,1.0,,,smithla01.html,False
1629,1629,Leon Smith,2.0,49.0,13.1,2.6,,43.8,67.8,,1.0,,,smithle01.html,False
1630,1630,Michael Smith,7.0,122.0,19.0,7.6,2.6,50.7,87.8,,5.0,,,smithmi02.html,False
1631,1631,Mike Smith,1.0,55.0,19.3,8.2,2.7,42.8,76.9,50.7,1.0,31.8,8.0,smithmi03.html,False
1632,1632,Nolan Smith,2.0,143.0,13.4,2.8,2.8,44.8,80.0,50.3,1.0,36.8,18.3,smithno01.html,False
1633,1633,Otis Smith,6.0,117.0,14.6,7.8,2.3,47.7,73.0,,5.0,,,smithot01.html,False
1634,1634,Phil Smith,9.0,84.0,18.1,5.1,,49.7,68.5,,4.0,,,smithph01.html,True
1635,1635,Randy Smith,12.0,5.0,8.2,4.4,1.8,39.5,58.3,39.5,5.0,,,smithra01.html,True
1636,1636,Reggie Smith,2.0,121.0,13.5,8.0,1.3,49.6,57.4,49.6,2.0,0.0,,smithre01.html,False
1637,1637,Robert Smith,7.0,92.0,10.4,1.9,4.8,49.1,87.8,,2.0,,,smithro01.html,False
1638,1638,Russ Smith,2.0,133.0,14.3,2.7,2.8,41.3,76.0,47.3,2.0,34.5,17.1,smithru01.html,False
1639,1639,Sam Smith,2.0,60.0,15.7,3.1,2.3,52.1,73.9,,2.0,,,smithsa02.html,False
